,Y
098_S_4215.1,-0.739999999999998
073_S_4216,0.799999999999997
073_S_4216.1,0.419999999999995
073_S_4216.2,0.32
073_S_4216.3,0.469999999999999
068_S_4217,2.46
068_S_4217.1,0.420000000000002
068_S_4217.2,1.13
031_S_4218,0.140000000000001
031_S_4218.1,0.420000000000002
031_S_4218.2,-0.740000000000002
002_S_4219,0.140000000000001
002_S_4219.1,-0.649999999999999
002_S_4219.2,-1.71
129_S_4220,-0.700000000000003
129_S_4220.1,-0.530000000000001
129_S_4220.2,1.92
011_S_4222,0.129999999999999
011_S_4222.1,-0.0800000000000018
011_S_4222.2,-1.11
024_S_4223,0.66
024_S_4223.1,-0.470000000000002
024_S_4223.2,-1.34
082_S_4224,-2.39
002_S_4225,-0.789999999999999
002_S_4225.1,-1.83
002_S_4225.2,-2.68
072_S_4226,-0.330000000000005
072_S_4226.1,-0.850000000000001
072_S_4226.2,-1.97000000000001
002_S_4229,-0.159999999999997
141_S_4232,1.53
141_S_4232.1,1.05
141_S_4232.2,2.86
094_S_4234,-2.66
094_S_4234.1,-0.5
094_S_4234.2,-4.3
011_S_4235,-2.04
011_S_4235.1,-1.92
011_S_4235.2,-0.869999999999997
011_S_4235.3,-2.81
002_S_4237,1.2
002_S_4237.1,0.550000000000001
002_S_4237.2,0.580000000000002
127_S_4240,-1.38
127_S_4240.1,-1.94
127_S_4240.2,-2.6
023_S_4243,-0.41
023_S_4243.1,-0.189999999999998
023_S_4243.2,-1.45
023_S_4243.3,-3.58
082_S_4244,2.77
082_S_4244.1,1.4
082_S_4244.2,0.0599999999999987
021_S_4245,-0.690000000000001
021_S_4245.1,1.55
021_S_4245.2,1.44
130_S_4250,-1.36
130_S_4250.1,-1.46
130_S_4250.2,-1.79
130_S_4250.3,-4.4
002_S_4251,0.959999999999994
002_S_4251.1,-1.06
019_S_4252,0.16
019_S_4252.1,-0.890000000000001
019_S_4252.2,-1.32
021_S_4254,2.57
021_S_4254.1,-2.52
021_S_4254.2,-2.68
941_S_4255,-1.08
941_S_4255.1,-0.879999999999995
941_S_4255.2,-1.54
941_S_4255.3,-2.17
035_S_4256,0.659999999999997
035_S_4256.1,0.309999999999995
035_S_4256.2,1.34
018_S_4257,-2.27
018_S_4257.1,-2.73
137_S_4258,-0.73
137_S_4258.1,-3.11
073_S_4259,-0.359999999999999
073_S_4259.1,-0.359999999999999
073_S_4259.2,-2.89
002_S_4262,-0.510000000000005
002_S_4262.1,0.799999999999997
002_S_4262.2,-0.540000000000006
014_S_4263,-0.469999999999999
014_S_4263.1,-2.32
014_S_4263.2,-1.58
014_S_4263.3,-1.93
022_S_4266,1.54
022_S_4266.1,0.240000000000002
022_S_4266.2,-1.75
013_S_4268,0.509999999999998
013_S_4268.1,0.289999999999999
013_S_4268.2,-0.770000000000003
013_S_4268.3,-3.04000000000001
136_S_4269,0.770000000000003
136_S_4269.1,-1.82
002_S_4270,-1.14
002_S_4270.1,-2.6
002_S_4270.2,-2.23
041_S_4271,0.0199999999999996
041_S_4271.1,-0.139999999999997
041_S_4271.2,-2.04
041_S_4271.3,-2.93
007_S_4272,1.29
007_S_4272.1,0.170000000000002
007_S_4272.2,-1.32
007_S_4272.3,-3.03
068_S_4274,1.19
068_S_4274.1,0.719999999999999
098_S_4275,-2.48
098_S_4275.1,0.68
021_S_4276,0.390000000000001
021_S_4276.1,-0.210000000000001
021_S_4276.2,1.08
032_S_4277,-1.03
032_S_4277.1,-0.0700000000000003
032_S_4277.2,-0.110000000000003
032_S_4277.3,-1.8
011_S_4278,-2
011_S_4278.1,-2.07
011_S_4278.2,-2.43
029_S_4279,-2.86
029_S_4279.1,-2.78
024_S_4280,-0.199999999999999
024_S_4280.1,-2.06
024_S_4280.2,-1.46
135_S_4281,0.18
135_S_4281.1,1.98999999999999
135_S_4281.2,-1.77
135_S_4281.3,-0.0600000000000023
